Professor,Average_grade,Ratings,Difficulty,Num_reviews
Chang,4.0,4.5,2.0,29
Moghimi,4.0,5.0,2.0,6
van Es,4.0000001192092896,3.9,2.8,82
Riley,3.324999988079071,5.0,3.0,12
Van Es,4.0000001192092896,3.9,2.8,82
Alexander,3.574999988079071,3.9,3.3,31
MacMahon,3.299999952316284,4.5,3.4,44
Kourkoutis,3.299999952316284,4.8,3.5,7
Wickham,3.299999952316284,3.2,3.6,20
Fuchs,3.75,4.7,2.1,60
Wise,3.299999952316284,4.4,4.0,10
Kriner,3.299999952316284,3.9,3.4,18
Stacey,3.299999952316284,4.0,3.6,13
Nicholson,3.6800000190734865,4.8,2.8,27
Goldfarb,3.299999952316284,1.3,4.9,10
March,3.649999976158142,2.7,3.3,10
Howarth,3.149999976158142,3.9,2.4,12
Campbell,3.299999952316284,4.1,4.3,31
Huffaker,3.299999952316284,3.5,3.9,36
Tumbar,3.299999952316284,4.4,3.2,13
Fromme,3.299999952316284,4.5,3.1,9
Liu,3.649999976158142,4.3,3.1,12
Blake,3.149999976158142,4.4,3.3,6
Blankenship,3.649999976158142,4.1,3.6,44
Winans,3.299999952316284,4.0,3.1,20
Scheinberg,3.299999952316284,3.3,3.4,8
Doerschuk,3.299999952316284,2.7,3.5,15
Saikia,3.299999952316284,3.9,3.4,8
Entner,3.5,2.4,2.8,51
Giles,3.299999952316284,3.5,4.7,11
Lorey,3.224999964237213,5.0,3.9,9
Davis,3.614285707473755,4.0,3.2,43
Kinsland,3.074999988079071,3.1,4.0,27
Lin,3.299999952316284,4.3,2.5,15
Milner,3.299999952316284,3.5,3.8,62
Ezra,3.299999952316284,3.0,4.8,9
Wilson,3.299999952316284,4.1,3.6,9
Varner,4.0,4.1,2.6,9
Duncan,3.0,4.4,4.0,56
Schuldt,3.299999952316284,4.5,3.0,6
Schmidt,3.299999952316284,2.7,3.4,47
Sen,3.5666666825612388,2.8,3.1,25
White,3.574999988079071,4.6,3.3,117
Schalekamp,3.399999976158142,5.0,2.8,16
van Zuylen,3.2399999618530275,4.0,4.3,16
Clarkson,3.375,5.0,4.0,33
Foster,3.4333333174387612,4.5,4.0,20
Hsu,3.299999952316284,3.3,3.4,52
Bracy,3.299999952316284,3.5,4.0,58
Alvisi,3.149999976158142,2.5,4.5,29
Birman,3.649999976158142,3.4,3.1,36
Hirsh,3.299999952316284,3.1,2.5,13
Selman,3.649999976158142,2.4,2.8,19
van Schijndel,3.5,3.8,4.3,5
Lee,3.1799999713897704,3.4,3.2,30
Schijndel,3.299999952316284,3.8,4.3,5
Damle,3.299999952316284,4.9,3.5,5
Sun,3.299999952316284,3.6,2.5,8
Chattopadhyay,3.299999952316284,5.0,2.9,6
Kleinberg,3.5799999713897703,5.0,2.6,31
Kozen,3.5,4.4,3.6,31
Tardos,3.299999952316284,3.6,3.0,12
DeGaetano,3.5,4.3,3.3,8
Mahowald,3.649999976158142,3.9,2.2,8
Zhang,3.5666666825612388,5.0,4.0,18
Wagner,3.5,4.5,2.1,9
Sanders,3.3799999713897706,5.0,2.9,37
Thomas,3.3199999809265135,2.7,4.4,149
Wissink,3.299999952316284,3.4,3.3,296
McKee,3.5666666825612388,4.2,3.5,33
Denti,3.299999952316284,3.0,3.9,7
O'Donoghue,3.5666666825612388,4.6,3.3,28
Van Dover,3.5666666825612388,4.3,2.9,14
Matthias,3.299999952316284,4.5,3.5,22
Kreps,3.5,3.9,3.1,8
MacAusland,3.4333333174387612,3.5,3.9,16
McAusland,3.299999952316284,2.9,2.7,25
Roberts,3.5666666825612388,5.0,2.6,10
McCarthy,3.4333333174387612,3.1,2.6,42
Odom-Reed,3.299999952316284,2.0,4.3,16
Stewart-Harris,3.299999952316284,3.6,3.6,5
Carvell,3.299999952316284,4.4,2.4,7
Gaulke,3.5,3.2,3.6,33
Weil,3.299999952316284,3.2,3.6,35
Falk,3.299999952316284,3.0,4.4,44
Florea,3.299999952316284,4.5,3.9,7
Hutchens,3.299999952316284,4.4,2.7,19
Smith,3.4625000059604645,4.5,2.8,22
Litwin,3.299999952316284,3.4,3.1,9
Easley,3.5666666825612388,4.8,3.0,40
Mimno,3.299999952316284,4.0,3.6,6
Kirby,3.649999976158142,4.3,3.3,10
Ritz,3.140000009536743,2.8,3.8,59
Fisher,3.8000000715255737,4.6,2.8,11
Nussbaum,3.299999952316284,2.0,4.0,29
Ruina,3.299999952316284,2.9,3.5,58
Connelly,3.299999952316284,2.2,3.6,63
Delp,3.2399999618530275,4.4,3.5,38
Elek,3.0,4.5,2.6,65
Sjamaar,3.299999952316284,4.1,4.0,23
Strogatz,3.5666666825612388,4.6,2.9,49
Townsend,3.299999952316284,4.4,4.0,28
Dozier,3.299999952316284,3.3,3.1,43
Berest,3.199999968210856,2.8,3.4,36
Hubbard,3.7666666507720947,3.9,4.1,17
Healey,3.299999952316284,4.8,3.0,25
Vladimirsky,3.5666666825612388,3.9,4.1,18
Swartz,3.4333333174387612,4.0,3.0,5
Lewis,3.633333365122477,4.3,3.4,13
Harris,3.649999976158142,4.3,4.0,16
Saloff-Coste,3.299999952316284,2.6,3.6,16
Nadeau,3.299999952316284,4.6,2.9,40
Zywina,3.299999952316284,4.8,2.9,12
Clark,3.299999952316284,5.0,4.0,33
Benedek,3.299999952316284,4.3,1.9,55
Moseley,3.75,2.9,2.9,15
C. Monroe,3.299999952316284,2.6,3.4,7
Levitsky,3.299999952316284,4.0,2.5,99
Michael,3.299999952316284,2.5,4.3,25
Wolf,3.649999976158142,2.1,3.8,44
Callister,3.8888889418707953,3.5,2.0,121
Dai,3.149999976158142,4.4,3.9,141
Tripp,3.299999952316284,5.0,2.9,15
Evans,3.7666666507720947,4.3,2.3,31
Avery,3.299999952316284,3.6,3.7,62
Korzukhin,3.299999952316284,2.1,4.4,7
Shen,3.299999952316284,4.9,3.9,34
Mueller,3.6666666666666665,3.3,3.4,25
Liepe,3.5,4.5,3.5,22
Kim,3.800000047683716,3.3,4.4,15
Bazarov,3.299999952316284,3.4,4.3,10
Giambattista,3.4333333174387612,4.1,3.9,24
Case,3.5,4.6,3.6,28
Xu,3.4333333174387612,4.0,3.9,14
Arias,3.299999952316284,4.5,3.5,53
Bauerle,3.299999952316284,4.0,3.4,14
Segal,3.850000023841858,4.6,2.8,82
Gilovich,3.5,4.4,3.8,69
Park,3.299999952316284,2.6,2.7,8
McAdams (and others),3.299999952316284,4.4,1.6,16
Amigo-Silvestre,3.299999952316284,3.6,3.9,27
Bevia  ,3.299999952316284,4.8,3.8,21
Abbott,3.299999952316284,4.3,1.9,109
Packard,3.299999952316284,2.3,4.0,51
Karns,3.649999976158142,2.9,2.9,45
Figueroa,3.299999952316284,4.0,2.4,7
Monger,3.660000038146973,5.0,2.0,83
Wysocki,3.0166666905085244,4.5,3.3,38
Levine,3.700000047683716,4.8,2.6,15
Tantillo,2.700000047683716,4.1,4.0,24
Bischoff,4.0,4.3,3.1,24
Kusse,3.5666666825612388,4.4,4.0,29
Weiland,3.0,4.9,2.9,20
Linder,3.0,3.9,2.1,65
Buchon,3.0,4.6,3.9,32
Selvaraj,3.0,3.6,4.6,43
Shapleigh,3.0,3.6,2.6,5
Soloway,3.0,2.4,3.8,6
Gilbert,3.0,3.9,3.8,41
Fox,3.0,4.5,3.6,46
Goldberg,3.0,2.5,4.3,25
Richards,3.6500000953674316,4.4,2.6,12
Cowen,3.3333333333333335,4.1,3.6,9
DiStasio,3.0,4.3,3.3,24
Coates,3.0,4.8,3.5,43
Lambert,3.5,4.6,2.1,7
Ganem,3.0,3.9,3.9,115
Fors,3.0,2.9,4.2,30
Yu,3.175000011920929,1.8,3.9,11
Fan,3.2333333492279053,4.4,3.9,141
Gries,3.0,3.4,3.4,129
Muhlberger,3.0,3.0,4.0,18
Myers,3.633333365122477,3.6,4.1,36
Silva,3.7666667302449546,4.9,2.1,25
Hedge,3.0,2.2,2.8,12
Stoye,3.0,4.3,3.6,9
Wilmers,3.0,2.8,3.6,18
Yeo,3.0,3.7,3.7,24
Dev,3.350000023841858,5.0,3.5,70
Jacobson,3.0,3.2,3.8,133
Zehnder,3.0,4.1,2.6,10
Barbasch,3.0,2.8,4.1,29
Pollock,3.0,4.5,3.1,14
Poitras,3.6500000953674316,4.3,3.6,42
Barabash,3.0,1.8,3.5,8
Kassabov,3.5,2.5,4.5,14
Quigley ,3.0,2.1,3.9,62
Esmaily,3.350000023841858,3.8,3.8,6
MacDonald,3.350000023841858,4.4,3.8,7
Speh,3.0,2.0,3.4,20
Thompson,3.0,2.1,4.1,19
Henderson,3.0,4.4,3.5,27
Giambattista ,3.0,4.1,3.9,24
 Taylor,3.0,3.0,3.0,17
Hoffstaetter,3.0,2.9,4.0,12
DeVoogd,3.0,3.6,4.3,36
Chazal,3.0,2.3,4.1,8
Hwang,4.300000190734863,3.2,2.8,12
Raheja,4.0,2.3,3.5,6
Datta,4.300000190734863,4.5,3.0,22
Bemis,4.150000095367432,4.1,2.6,30
Linster,4.300000190734863,4.1,3.0,6
Sauve,4.300000190734863,3.9,3.2,34
Brito,4.300000190734863,3.8,3.6,65
Hunt,4.300000190734863,2.1,4.1,28
Trummer,4.000000079472859,3.3,3.3,14
Wells,4.300000190734863,3.3,3.4,12
Lohman,4.150000095367432,5.0,2.4,6
Anderson,4.100000063578288,4.7,2.6,13
Cleare,4.300000190734863,4.7,1.5,17
f,4.150000095367432,3.0,4.4,44
Noack,4.300000190734863,3.8,1.6,10
Di Russo,4.300000190734863,4.5,3.0,38
DiRusso,4.300000190734863,5.0,2.5,31
Berry,4.300000190734863,3.7,2.8,9
Carmalt,4.300000190734863,5.0,2.0,17
Nixon,3.850000023841858,4.3,2.1,30
Oliveira,4.300000190734863,3.7,1.2,12
Pizarro,4.150000095367432,4.8,2.3,74
Werth,4.150000095367432,4.5,2.9,35
Leuenberger,4.0000001192092896,3.0,2.1,10
Perez,3.700000047683716,2.8,2.8,135
Curtis,3.700000047683716,3.0,3.3,133
Rickard,3.700000047683716,3.5,3.1,13
Shu,3.700000047683716,3.9,3.4,9
Lenox,3.700000047683716,4.5,3.8,19
Klausner,3.850000023841858,3.6,3.5,31
Mani,3.700000047683716,3.0,3.6,56
Kaiser,3.700000047683716,4.1,1.7,7
Pollack,3.700000047683716,3.0,3.1,16
Baptist,3.700000047683716,3.8,3.5,20
Allen,3.700000047683716,5.0,3.8,31
Son,3.700000047683716,4.4,3.7,12
Tagliacozzo,3.700000047683716,5.0,2.6,32
Squyres,3.700000047683716,4.5,2.9,25
Lloyd,3.850000023841858,3.5,3.5,19
Walter,3.700000047683716,4.9,3.1,14
Roberson ,3.700000047683716,2.4,4.0,85
Hernandez,3.700000047683716,2.5,4.1,9
Buckley,3.700000047683716,5.0,3.4,7
Dietz,3.700000047683716,4.1,3.0,106
Adie,3.700000047683716,1.9,4.0,48
Hinrichs,3.700000047683716,4.0,3.4,9
Bunea,3.700000047683716,3.3,3.3,17
Kato,3.700000047683716,2.3,3.3,37
Li,3.700000047683716,3.9,4.2,13
Nair,3.700000047683716,4.0,3.3,102
Richardson,3.700000047683716,4.4,2.6,12
Ananth,3.700000047683716,4.4,4.2,9
Divo,3.700000047683716,4.6,3.4,21
George,3.700000047683716,4.6,2.8,40
Monroe,3.800000031789144,4.1,2.3,24
Halpern,3.700000047683716,4.3,3.9,22
Napp,3.700000047683716,2.0,2.4,9
Agarwal,3.700000047683716,3.4,3.9,26
Marschner,3.700000047683716,3.4,4.1,9
Hariharan,3.700000047683716,2.5,2.9,17
De Sa,3.700000047683716,4.4,3.5,11
Joachims,3.700000047683716,3.4,3.7,12
Dean,3.700000047683716,2.8,4.3,84
Ginsparg,3.700000047683716,3.5,3.2,11
Shi,3.700000047683716,2.4,2.0,25
McMichael,3.700000047683716,2.8,2.9,11
Makki,3.700000047683716,4.4,3.2,5
Sipple,3.700000047683716,3.4,3.5,19
Afridi,3.700000047683716,4.9,2.0,21
Shealy,3.700000047683716,3.6,4.3,23
Tong,3.700000047683716,2.0,3.7,6
Albonesi,3.700000047683716,4.3,2.9,26
Batten,3.700000047683716,5.0,3.4,13
Monticone,3.900000015894572,5.0,3.4,27
Wicker,3.850000023841858,4.5,1.8,14
Basu,3.775000035762787,4.5,3.1,34
?,3.299999952316284,4.4,4.0,56
Hay,3.850000023841858,4.3,3.3,22
Shmoys,3.700000047683716,4.3,3.1,15
Alabi,3.700000047683716,3.3,3.6,92
Hover,3.850000023841858,4.8,3.0,28
Regenstein,3.700000047683716,1.4,2.1,12
Glidja,3.700000047683716,3.8,4.0,23
McQuade,3.700000047683716,4.2,3.0,68
Lischke,3.700000047683716,4.6,3.3,31
Van de Walle,3.700000047683716,3.5,3.0,23
Bateman,3.700000047683716,4.8,3.3,10
Ozanne,3.700000047683716,3.8,3.3,5
Whitmore,3.700000047683716,3.5,4.0,13
Moulton,3.700000047683716,5.0,3.8,11
Lakhani,3.700000047683716,3.3,3.1,46
Sternberg,3.800000031789144,3.1,2.5,9
K.,3.700000047683716,2.3,2.8,15
Loeckenhoff,3.925000011920929,4.3,2.5,14
Zayas,3.700000047683716,3.6,4.4,43
Minawi,3.700000047683716,4.5,3.0,8
Friedland,3.700000047683716,4.6,3.3,18
Verhoeven,3.700000047683716,4.6,3.6,13
Strauss,3.700000047683716,4.8,3.0,32
Gocheleishvili,4.0,4.8,2.3,24
Bohns,3.700000047683716,4.4,2.4,27
Ivory,4.0,2.2,3.0,9
Rissing,3.900000015894572,5.0,2.2,20
Homrighouse,3.700000047683716,5.0,2.1,47
DeVault,3.700000047683716,4.9,3.3,40
Weiner-Heinemann,3.700000047683716,4.9,3.2,18
Gold,3.700000047683716,4.0,4.8,64
Griffith,3.700000047683716,4.5,3.3,26
Entner ,3.700000047683716,2.4,2.8,51
Doing,3.700000047683716,2.6,2.7,8
Sengers,3.700000047683716,4.0,2.4,9
Bewley,3.700000047683716,4.2,2.8,26
Williamson,3.700000047683716,4.4,2.7,28
Strichartz,3.700000047683716,2.2,3.2,18
Knutson,3.850000023841858,3.0,4.0,24
Frazier,3.700000047683716,4.4,2.4,12
Mathios,3.700000047683716,4.8,1.8,130
Manne,3.700000047683716,4.1,2.4,7
Markovits,3.700000047683716,4.0,2.8,7
Nichols,3.850000023841858,4.8,2.8,27
Cornwell ,3.700000047683716,4.6,1.7,28
Taylor,3.850000023841858,3.0,3.0,17
Krasicky,3.700000047683716,4.4,3.5,75
Wittich,3.700000047683716,4.3,2.8,8
Grossman,3.700000047683716,4.3,3.2,23
Gibbons,3.700000047683716,2.1,3.6,45
Miller,3.700000047683716,3.0,4.0,36
Goldstein,3.850000023841858,4.4,3.4,35
Russo,3.700000047683716,2.8,2.0,22
Schulze,3.700000047683716,3.4,1.7,29
Field,3.700000047683716,4.5,2.6,17
Alkire,3.850000023841858,4.8,2.5,20
Paperno,3.850000023841858,4.5,3.4,18
Mahiques,3.700000047683716,2.5,4.0,5
Arias Fuentes,3.700000047683716,5.0,2.7,8
Teutli,3.700000047683716,4.9,3.3,21
Lawless,3.700000047683716,3.8,3.5,41
El Alaoui,3.700000047683716,2.3,4.4,10
Guinness,3.700000047683716,2.3,3.9,9
Ning,3.700000047683716,5.0,3.1,13
Cleland,3.850000023841858,3.9,2.3,5
Pender,3.700000047683716,2.9,4.4,20
Hartman,3.700000047683716,4.3,3.0,178
Bell,3.700000047683716,4.4,3.1,15
Chen,3.850000023841858,4.5,3.4,14
Gubbins,3.700000047683716,4.3,3.0,43
Green,3.700000047683716,4.7,2.0,23
Powers,3.700000047683716,3.3,3.1,26
Blume,3.700000047683716,1.5,3.8,34
Seth,3.700000047683716,2.4,3.6,19
xu,4.0,4.0,3.9,14
Sethuraman,4.0,4.0,3.6,62
Shields,4.0,4.2,3.5,147
Chu,4.0,4.6,3.4,30
Earle,4.0,4.7,1.9,23
Washington,4.0,3.2,4.2,6
Arcadi,4.0,5.0,2.4,20
Tran,4.0,3.2,3.5,6
Chernoff,4.0,2.4,3.8,29
cs ,4.0,4.3,3.1,7
Ma,4.0,3.5,3.9,16
Barstow,4.0,3.7,3.1,113
Drake,4.0,2.8,2.8,24
Sparks,4.0,4.5,2.9,31
Sarvary,4.0,3.8,1.9,38
Aquadro,4.0,4.4,2.8,10
Kwak,4.0,2.5,3.1,104
Hewson,4.0,3.7,2.2,5
Debbie,4.0,3.4,2.8,16
Rhoades,4.0,4.5,3.9,59
Harrington,4.0,3.9,2.7,9
Carlson,4.0,4.2,2.8,14
Gadikota,4.0,3.9,3.0,8
Warner,4.0,3.4,3.3,15
Gallagher,4.0,2.8,3.7,79
Clary,4.0,5.0,3.1,10
Pollak,4.0,4.4,2.1,19
Campanella,4.0,2.7,2.9,9
Williams,4.0,4.4,2.7,28
Haym Hirsh,4.0,3.1,2.5,13
Harwood,4.0,3.7,4.1,71
Zadeh,4.0,3.5,3.6,69
Giroux,4.0,5.0,2.5,9
Paynter,4.0,2.8,3.0,87
Degaetano,4.0,4.3,3.3,8
Ross,4.0,5.0,2.4,30
Krishnamurthy,4.0,4.5,3.1,8
Rhee,4.0,4.9,2.0,5
Luo,4.0,4.6,2.5,6
Peck & Sanderson,4.0,3.6,2.6,7
Caillaud,4.0,5.0,3.0,19
Menard,4.0,4.6,3.4,12
Yigit,4.0,4.3,4.0,13
McBride,4.0,4.0,3.0,12
Haskins,4.0,4.3,2.0,23
Evangelista,4.0,4.0,2.1,21
Young,4.0,3.0,2.0,11
Kedar,4.0,3.6,3.9,31
Hazan,4.0,5.0,2.9,49
Ehrenberg,4.0,4.2,2.3,25
Katz,4.0,4.6,4.0,221
Nelson,4.0,4.6,1.7,31
Levy,4.0,3.9,2.5,10
Harms,4.0,3.0,3.3,53
Soltoff,4.0,1.9,4.0,7
Wittelsbach,4.0,4.9,3.5,66
Baraldi,4.0,4.9,1.9,24
Song,4.0,4.4,3.7,12
Mendia,4.0,2.6,3.8,31
Christiansen,4.0,4.3,3.3,19
Dorit Abusch,4.0,2.0,3.5,11
Rooth,4.0,2.1,3.0,5
Murray,4.0,2.4,2.5,8
Peraino,4.0,4.3,2.5,15
Ernste,4.0,4.3,2.1,7
Kilburn,4.0,3.9,3.1,67
Tenney,4.0,4.6,2.1,7
Johnson,4.0,5.0,2.5,7
Golan,4.0,1.0,4.3,11
Gu,4.0,3.7,3.7,26
Aydemir,4.0,3.8,3.0,18
Nugen,4.0,3.4,4.0,8
Yavitt,4.0,4.4,1.9,22
Reyes,4.0,4.8,3.6,30
Dietl,4.0,3.8,2.9,156
Cohen,4.0,2.9,2.5,11
Thorne,4.0,3.6,3.4,26
LeClair,4.0,3.5,2.9,38
Swallow,4.0,2.4,3.1,18
Weeden,4.0,4.4,3.0,28
Hilgartner,4.0,4.0,2.4,25
Langwick,4.0,3.4,3.3,10
Roebuck,4.0,4.4,3.4,8
Arnink,4.0,3.6,1.9,9
Moss,4.0,5.0,2.0,8
Jackson,4.0,3.8,3.0,20
Gili,4.0,3.3,3.3,27
Lujan,4.0,4.5,2.9,10
Stephen,4.0,3.8,3.0,20
Aguiar,3.299999952316284,5.0,3.4,13
Fleming,3.700000047683716,4.3,3.5,39
Smolka,3.299999952316284,2.4,3.6,48
Ling,3.0,3.9,4.2,13
Weinberger,4.0,4.1,3.5,49
Stedman,3.700000047683716,4.9,2.4,5
Boucher,3.700000047683716,3.6,3.5,63
Paz,3.5,3.6,3.3,10
Fullbright,3.0,5.0,2.6,32
Musser,3.0,1.8,5.0,1158
Holycross,4.300000190734863,4.9,4.4,153
Sasmita,4.300000190734863,3.5,3.5,35
Fennie,3.700000047683716,3.0,3.8,11
Teng,3.700000047683716,4.3,3.5,8
ok,3.700000047683716,2.2,3.9,10
Mettler,3.700000047683716,4.5,3.0,28
Chutkow,3.700000047683716,4.6,3.4,30
Lowell,3.700000047683716,4.3,2.5,33
Nagaraja ,3.700000047683716,2.4,2.9,13
Yang,3.850000023841858,5.0,3.1,13
Applegate,3.700000047683716,4.3,2.4,24
Quigley,3.700000047683716,2.1,3.9,62
Juul,3.700000047683716,4.1,1.9,21
Randles,3.700000047683716,4.5,2.3,38
Udell,3.700000047683716,1.6,4.1,8
Brennan,3.700000047683716,4.2,2.8,17
Lyon,3.700000047683716,4.1,3.1,19
Eibenstein-Alvisi,3.700000047683716,3.3,3.9,5
Admussen,4.0,5.0,2.5,10
Herter,4.0,4.4,1.7,22
Gordon,4.0,4.0,3.6,13
Rebillard,4.0,2.4,3.4,26
Bindel,4.0,2.6,3.9,70
Hirschl,4.0,3.1,1.9,35
Enyegue,4.0,3.3,2.0,15
Kiefer,4.0,2.2,4.0,5
Brenda Dietrich,4.0,3.4,4.4,15
Boling,4.0,3.8,2.5,16
Saleh,4.0,4.8,2.6,28
Horner,4.0,3.1,3.0,54
Rich,4.0,2.5,2.8,90
Starr,4.0,4.1,2.1,9
Black,4.0,2.2,3.9,18
Schneider,4.0,2.8,3.6,19
Zhu,4.0,2.0,3.2,26
Pelliccia,4.0,4.5,4.4,9
Frank,3.700000047683716,3.9,2.5,28
Ke,3.700000047683716,4.8,3.0,28
Mann,3.700000047683716,4.6,3.3,11
Bronfenbrenner,4.0,3.5,3.4,19
R.,4.0,2.8,3.4,94
Despic,4.0,4.4,2.5,7
Cross,4.0,3.9,3.3,44
Hodge,4.0,5.0,1.9,8
